         1920208 function calls (1889728 primitive calls) in 2.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1164    0.001    0.000    0.002    0.000 dataclasses.py:865(_set_new_attribute)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
      293    0.001    0.000    0.004    0.000 textwrap.py:419(dedent)
      245    0.001    0.000    0.001    0.000 core.py:462(__init__)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
     2646    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
      160    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
      215    0.001    0.000    0.001    0.000 dataclasses.py:407(_fields_in_init_order)
     5365    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      970    0.001    0.000    0.004    0.000 _builtins.py:148(_get_builtin_table)
       76    0.001    0.000    0.014    0.000 typing.py:2974(_make_nmtuple)
      510    0.001    0.000    0.002    0.000 inspect.py:1773(_check_class)
      334    0.001    0.000    0.002    0.000 inspect.py:801(_findclass)
      782    0.001    0.000    0.010    0.000 linecache.py:21(getline)
      219    0.001    0.000    0.001    0.000 utils.py:120(is_tensor_like_type)
     2977    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1084    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
      113    0.001    0.000    0.151    0.001 library.py:161(_register_fake)
     3072    0.001    0.000    0.001    0.000 _parser.py:255(match)
        4    0.001    0.000    0.041    0.010 core.py:1(<module>)
       26    0.001    0.000    0.001    0.000 _sources.py:88(__init__)
      274    0.001    0.000    0.009    0.000 <frozen abc>:105(__new__)
     1062    0.001    0.000    0.001    0.000 {built-in method posix._path_normpath}
      510    0.001    0.000    0.002    0.000 inspect.py:1812(getattr_static)
     1547    0.001    0.000    0.001    0.000 enum.py:57(_is_sunder)
     1463    0.001    0.000    0.002    0.000 {built-in method builtins.delattr}
       21    0.001    0.000    0.001    0.000 ipaddress.py:1512(__init__)
1215/1202    0.001    0.000    0.002    0.000 {built-in method builtins.repr}
      8/1    0.001    0.000    0.001    0.001 _config_module.py:30(visit)
     1015    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     2686    0.001    0.000    0.001    0.000 util.py:200(__call__)
     1673    0.001    0.000    0.001    0.000 {built-in method sys.intern}
       56    0.001    0.000    0.014    0.000 __init__.py:465(inner)
      922    0.001    0.000    0.002    0.000 {built-in method builtins.next}
      152    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1594(__init__)
      128    0.001    0.000    0.001    0.000 utils.py:84(is_functional)
      216    0.001    0.000    0.001    0.000 reprlib.py:12(decorating_function)
      525    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      684    0.001    0.000    0.004    0.000 typing.py:351(_deduplicate)
     1190    0.001    0.000    0.001    0.000 {built-in method torch._C._add_docstr}
      409    0.001    0.000    0.017    0.000 artist.py:1538(number_of_parameters)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      489    0.001    0.000    0.001    0.000 inspect.py:1436(repl)
     1140    0.001    0.000    0.001    0.000 enum.py:36(_is_descriptor)
      152    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1671(_fill_cache)
      791    0.001    0.000    0.001    0.000 dataclasses.py:691(_is_classvar)
      986    0.001    0.000    0.002    0.000 _pytree.py:672(_is_leaf)
     1095    0.001    0.000    0.002    0.000 _pytree.py:665(_get_node_type)
     1209    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
